label,PID,PName,event,eid,user,timestamp,date,saddr,sport,daddr,dport,FileName,ParentID,ImageFileName,CommandLine,PPName,techniques,subject,object,anomaly_label
,4472,postgres,Process/Start,09d30b0ab272b5e46f18a6c75f53183a,admin,1652108519,5/9/2022 23:01,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5232&quot;,unknown,T1204.002,4248#unknown,4472#postgres,0
,5260,iexplore,TcpIp/Recv,446f2b555a380698daf56dca3936f6d9,admin,1652108520,5/9/2022 23:02,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,6240,taskhostw,Process/Start,42606546d8760c1c71c8539457eeb814,admin,1652108541,5/9/2022 23:02,,,,,Nil,1752.0,taskhostw.exe,taskhostw.exe NGCKeyPregen,unknown,T1204.002,1752#unknown,6240#taskhostw,0
,552,rdpclip,Process/Start,2df3fd39a9e143750993fd19772aef7a,admin,1652108551,5/9/2022 23:02,,,,,Nil,304.0,rdpclip.exe,rdpclip,unknown,T1021.001,304#unknown,552#rdpclip,0
,1188,AtBroker,Process/Start,de6b72cb86bd1aece5bb5a3d1dab2734,admin,1652108551,5/9/2022 23:02,,,,,Nil,2156.0,AtBroker.exe,atbroker.exe,unknown,T1204.002,2156#unknown,1188#AtBroker,0
,1048,LogonUI,Process/Start,d280d61e01f5301a9607b393925e72fe,admin,1652108551,5/9/2022 23:02,,,,,Nil,2156.0,LogonUI.exe,&quot;LogonUI.exe&quot; /flags:0x0 /state0:0xa2799055 /state1:0x41c64e6d,unknown,T1204.002,2156#unknown,1048#LogonUI,0
,5648,taskhostw,Process/Start,e59755842498335afca1e59c28acf7d5,admin,1652108552,5/9/2022 23:02,,,,,Nil,1752.0,taskhostw.exe,taskhostw.exe KEYROAMING,unknown,T1204.002,1752#unknown,5648#taskhostw,0
,3164,AtBroker,Process/Start,1733f2af0ec1274042dbff0aa0e64041,admin,1652108552,5/9/2022 23:02,,,,,Nil,2156.0,AtBroker.exe,atbroker.exe,unknown,T1204.002,2156#unknown,3164#AtBroker,0
,1240,devenv,TcpIp/Send,718ab9c8c7620a4e32d6481aa5b68603,admin,1652108553,5/9/2022 23:02,192.168.0.110,"49,865",13.94.47.61,"9,354",Nil,,,nil,,T1020,1240#devenv,"49,865:13.94.47.61:9,354",0
,1240,devenv,TcpIp/Recv,f45058891e75c7a36d0976efee741589,admin,1652108553,5/9/2022 23:02,192.168.0.110,"49,865",13.94.47.61,"9,354",Nil,,,nil,,T1589,1240#devenv,"49,865:13.94.47.61:9,354",0
,2732,LogonUI,Process/Start,69a556e7cbc2d35341d9c964a0d2151e,admin,1652108570,5/9/2022 23:02,,,,,Nil,2156.0,LogonUI.exe,&quot;LogonUI.exe&quot; /flags:0x0 /state0:0xa279d855 /state1:0x41c64e6d,unknown,T1204.002,2156#unknown,2732#LogonUI,0
,2360,taskhostw,Process/Start,e1b154c1f027a4bb77729a3760d10444,admin,1652108570,5/9/2022 23:02,,,,,Nil,1752.0,taskhostw.exe,taskhostw.exe KEYROAMING,unknown,T1204.002,1752#unknown,2360#taskhostw,0
,2848,postgres,Process/Start,7f023b22e74c37ca1bd7dc47481adb93,admin,1652108579,5/9/2022 23:02,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5284&quot;,unknown,T1204.002,4248#unknown,2848#postgres,0
,5260,iexplore,TcpIp/Recv,0f027ca32c504ee764db64061b1ca243,admin,1652108580,5/9/2022 23:03,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,2300,,TcpIp/Recv,3d5ee9201e84dd3f83c87624df07b043,admin,1652108601,5/9/2022 23:03,192.168.0.110,"49,867",20.86.173.234,80,Nil,,,nil,,T1589,2300#nan,"49,867:20.86.173.234:80",0
,5444,postgres,Process/Start,a13540033bca824c4ca961c2366e343d,admin,1652108639,5/9/2022 23:03,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5212&quot;,unknown,T1204.002,4248#unknown,5444#postgres,0
,5260,iexplore,TcpIp/Recv,3c52c1c9058416eee146c8eae3733d68,admin,1652108640,5/9/2022 23:04,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,1532,postgres,Process/Start,eee7db6868048bbb792cbc4f71d0d1ec,admin,1652108699,5/9/2022 23:04,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5232&quot;,unknown,T1204.002,4248#unknown,1532#postgres,0
,5260,iexplore,TcpIp/Recv,305e22a8f88cb0b02495ed6e864524fe,admin,1652108700,5/9/2022 23:05,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,6796,postgres,Process/Start,f288af156b348dd1925b160063fe74c3,admin,1652108759,5/9/2022 23:05,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5180&quot;,unknown,T1204.002,4248#unknown,6796#postgres,0
,5260,iexplore,TcpIp/Recv,b8ff7daa6581cbf8cf7f95f4ddc41403,admin,1652108760,5/9/2022 23:06,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,1240,devenv,TcpIp/Recv,6c6f856d6b2d55c65d7ab6441af7a1e4,admin,1652108805,5/9/2022 23:06,192.168.0.110,"49,865",13.94.47.61,"9,354",Nil,,,nil,,T1589,1240#devenv,"49,865:13.94.47.61:9,354",0
,3940,postgres,Process/Start,37c16b862f0e6a8c49f84207550b9d15,admin,1652108819,5/9/2022 23:06,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5212&quot;,unknown,T1204.002,4248#unknown,3940#postgres,0
,5260,iexplore,TcpIp/Recv,cf71e806d1332581798bb251c1df86e4,admin,1652108820,5/9/2022 23:07,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,4420,postgres,Process/Start,4c33e5d15bb67af2ff5f401f274f9708,admin,1652108879,5/9/2022 23:07,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5304&quot;,unknown,T1204.002,4248#unknown,4420#postgres,0
,5260,iexplore,TcpIp/Recv,285d451d358f259f9ab920f057185bd2,admin,1652108880,5/9/2022 23:08,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,5676,postgres,Process/Start,d3d47e84d991d93f987a2a4b3b0fd046,admin,1652108939,5/9/2022 23:08,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5212&quot;,unknown,T1204.002,4248#unknown,5676#postgres,0
,5260,iexplore,TcpIp/Recv,012c510bc139d54366974667daf58587,admin,1652108940,5/9/2022 23:09,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,1164,postgres,Process/Start,fafb58a82494da851a4119b4a90a1b4b,admin,1652108999,5/9/2022 23:09,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5196&quot;,unknown,T1204.002,4248#unknown,1164#postgres,0
,5260,iexplore,TcpIp/Recv,2207889ba35e13432d5bd3bb17617ed7,admin,1652109000,5/9/2022 23:10,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,5260,iexplore,TcpIp/Recv,e1b641e72eff40ae2be8f3af8cc7b3d4,admin,1652109060,5/9/2022 23:11,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,6504,postgres,Process/Start,5b21ad5630a00844c1075da71756a822,admin,1652109060,5/9/2022 23:11,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5180&quot;,unknown,T1204.002,4248#unknown,6504#postgres,0
,5260,iexplore,TcpIp/Recv,fb0000ee2f72f7e51afd253face99fdb,admin,1652109120,5/9/2022 23:12,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,5124,postgres,Process/Start,b7b60ac2292fe766acdee5f899a9c35f,admin,1652109120,5/9/2022 23:12,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5232&quot;,unknown,T1204.002,4248#unknown,5124#postgres,0
,4024,taskhostw,Process/Start,6cf5066af90a19e68e5d4d2de67d860f,admin,1652109153,5/9/2022 23:12,,,,,Nil,1752.0,taskhostw.exe,taskhostw.exe NGCKeyPregen,unknown,T1204.002,1752#unknown,4024#taskhostw,0
,5260,iexplore,TcpIp/Recv,6c998ab43f875541c024140e77dbe8cc,admin,1652109180,5/9/2022 23:13,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,940,postgres,Process/Start,f86a5afddc38446527610d8588fc80cc,admin,1652109180,5/9/2022 23:13,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5284&quot;,unknown,T1204.002,4248#unknown,940#postgres,0
,5260,iexplore,TcpIp/Recv,636f36fe1c2f39ab4adb79db3cfcd1f2,admin,1652109240,5/9/2022 23:14,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,4552,postgres,Process/Start,1671d5d93beaa318afc78dda1a0c5bbc,admin,1652109240,5/9/2022 23:14,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5212&quot;,unknown,T1204.002,4248#unknown,4552#postgres,0
,5260,iexplore,TcpIp/Recv,c7c482baebb943aca84d791034fb3eca,admin,1652109300,5/9/2022 23:15,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,6732,postgres,Process/Start,8c569d7438d0df649ef7120cac59daa3,admin,1652109300,5/9/2022 23:15,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5204&quot;,unknown,T1204.002,4248#unknown,6732#postgres,0
,5260,iexplore,TcpIp/Recv,9a7c4e5c4305c6a000d441014df8b2a5,admin,1652109360,5/9/2022 23:16,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,6376,postgres,Process/Start,6a25242e8d87c270f0edc9dfb9230fd0,admin,1652109360,5/9/2022 23:16,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5196&quot;,unknown,T1204.002,4248#unknown,6376#postgres,0
,5260,iexplore,TcpIp/Recv,0147bd24b1970083786497b8d62ad435,admin,1652109420,5/9/2022 23:17,192.168.0.110,"49,784",42.81.86.68,443,Nil,,,nil,,T1589,5260#iexplore,"49,784:42.81.86.68:443",0
,4012,postgres,Process/Start,36cb4c010c8776c5f2cf013b63c57380,admin,1652109420,5/9/2022 23:17,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5200&quot;,unknown,T1204.002,4248#unknown,4012#postgres,0
,284,iexplore,TcpIp/Send,3e32e233531c4584470e08090ddeff3c,admin,1652109479,5/9/2022 23:17,192.168.0.110,"49,872",20.212.96.199,443,Nil,,,nil,,T1020,284#iexplore,"49,872:20.212.96.199:443",0
,284,iexplore,TcpIp/Recv,4b8c8a2431a2c6f5596c7300c4d5740e,admin,1652109479,5/9/2022 23:17,192.168.0.110,"49,872",20.212.96.199,443,Nil,,,nil,,T1589,284#iexplore,"49,872:20.212.96.199:443",0
,1620,postgres,Process/Start,85fb6a6b4b12a446b596ce4736d105e3,admin,1652109480,5/9/2022 23:18,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5212&quot;,unknown,T1204.002,4248#unknown,1620#postgres,0
,4580,postgres,Process/Start,cdb582091030b2229cf56ed07c6cedc8,admin,1652109540,5/9/2022 23:19,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5232&quot;,unknown,T1204.002,4248#unknown,4580#postgres,0
,6936,postgres,Process/Start,79944d3fd848dc343e9deaa8b5eeb70b,admin,1652109600,5/9/2022 23:20,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5212&quot;,unknown,T1204.002,4248#unknown,6936#postgres,0
,4260,postgres,Process/Start,d28afdda200d0db62a960bf1607548b5,admin,1652109660,5/9/2022 23:21,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5284&quot;,unknown,T1204.002,4248#unknown,4260#postgres,0
,4036,postgres,Process/Start,f90944dc7dfb73088efa4fa0b08b7927,admin,1652109721,5/9/2022 23:22,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5196&quot;,unknown,T1204.002,4248#unknown,4036#postgres,0
,2908,taskhostw,Process/Start,d45495e6bc143ddd264762edd7642fcb,admin,1652109772,5/9/2022 23:22,,,,,Nil,1752.0,taskhostw.exe,taskhostw.exe,unknown,T1204.002,1752#unknown,2908#taskhostw,0
,880,postgres,Process/Start,fb52349d897f27b441820bf8b976d8ac,admin,1652109781,5/9/2022 23:23,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5200&quot;,unknown,T1204.002,4248#unknown,880#postgres,0
,284,iexplore,TcpIp/Send,e17ca654679ebf53a88dcb813de477c7,admin,1652109789,5/9/2022 23:23,192.168.0.110,"49,886",40.90.184.73,443,Nil,,,nil,,T1020,284#iexplore,"49,886:40.90.184.73:443",0
,284,iexplore,TcpIp/Recv,a9eb71fdc03c48dafa933302db9db8d6,admin,1652109789,5/9/2022 23:23,192.168.0.110,"49,886",40.90.184.73,443,Nil,,,nil,,T1589,284#iexplore,"49,886:40.90.184.73:443",0
,284,iexplore,TcpIp/Send,54da37cd869e327dc013a664babb6588,admin,1652109792,5/9/2022 23:23,192.168.0.110,"49,888",117.18.232.200,443,Nil,,,nil,,T1020,284#iexplore,"49,888:117.18.232.200:443",0
,284,iexplore,TcpIp/Recv,31a047c93aa5869908f847bd939a4259,admin,1652109792,5/9/2022 23:23,192.168.0.110,"49,888",117.18.232.200,443,Nil,,,nil,,T1589,284#iexplore,"49,888:117.18.232.200:443",0
,6296,postgres,Process/Start,7ea476f8135bc5373bde623ac3523823,admin,1652109841,5/9/2022 23:24,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5312&quot;,unknown,T1204.002,4248#unknown,6296#postgres,0
,284,iexplore,TcpIp/Recv,c1f91fde44aead420a30bd0320c46c4b,admin,1652109859,5/9/2022 23:24,192.168.0.110,"49,889",117.18.232.200,443,Nil,,,nil,,T1589,284#iexplore,"49,889:117.18.232.200:443",0
,4,System,TcpIp/Recv,48a280b21d6a02396962abca81bc3130,admin,1652109885,5/9/2022 23:24,192.168.0.110,80,77.103.6.75,"48,042",Nil,,,nil,,T1589,4#System,"80:77.103.6.75:48,042",0
,6516,postgres,Process/Start,353ac8fe4d68f3c1e2a8b723a3f710eb,admin,1652109901,5/9/2022 23:25,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5228&quot;,unknown,T1204.002,4248#unknown,6516#postgres,0
,2688,postgres,Process/Start,821f3a30810f0dbff221cf8c60f01616,admin,1652109961,5/9/2022 23:26,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5236&quot;,unknown,T1204.002,4248#unknown,2688#postgres,0
,2200,postgres,Process/Start,10976678f07fb1c5110d6a2673bc039e,admin,1652110021,5/9/2022 23:27,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5200&quot;,unknown,T1204.002,4248#unknown,2200#postgres,0
,2348,postgres,Process/Start,ef1964041a090408e8b36ab6fa2524ef,admin,1652110081,5/9/2022 23:28,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5228&quot;,unknown,T1204.002,4248#unknown,2348#postgres,0
,176,postgres,Process/Start,c113ca7ff7a9c4a5d8cec0b6e3bdcf73,admin,1652110141,5/9/2022 23:29,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5304&quot;,unknown,T1204.002,4248#unknown,176#postgres,0
,4064,postgres,Process/Start,77def9c9f96ff7351e1e64024c52b9d8,admin,1652110201,5/9/2022 23:30,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5312&quot;,unknown,T1204.002,4248#unknown,4064#postgres,0
,6640,postgres,Process/Start,215625b2bcb9a8a0a05dc66a6128e2b0,admin,1652110261,5/9/2022 23:31,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5212&quot;,unknown,T1204.002,4248#unknown,6640#postgres,0
,2548,postgres,Process/Start,d7bf264f0a13a29208a82d8c71bc4c7a,admin,1652110322,5/9/2022 23:32,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5216&quot;,unknown,T1204.002,4248#unknown,2548#postgres,0
,784,postgres,Process/Start,02f9461cea74a0d9136771dff6a16334,admin,1652110382,5/9/2022 23:33,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5236&quot;,unknown,T1204.002,4248#unknown,784#postgres,0
,1892,postgres,Process/Start,141cddd543df830bd5b1fe9680a0ee40,admin,1652110442,5/9/2022 23:34,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5304&quot;,unknown,T1204.002,4248#unknown,1892#postgres,0
,1240,devenv,TcpIp/Send,804266525f4658470c2fba7bdc463c19,admin,1652110465,5/9/2022 23:34,192.168.0.110,"49,890",23.42.177.50,80,Nil,,,nil,,T1020,1240#devenv,"49,890:23.42.177.50:80",0
,1240,devenv,TcpIp/Recv,e7d68fce7f9b80209231138b300184f0,admin,1652110466,5/9/2022 23:34,192.168.0.110,"49,890",23.42.177.50,80,Nil,,,nil,,T1589,1240#devenv,"49,890:23.42.177.50:80",0
,1240,devenv,TcpIp/Send,a877fd62fdf0f3ef0c98cd9186f7ea6f,admin,1652110466,5/9/2022 23:34,192.168.0.110,"49,891",117.18.232.200,443,Nil,,,nil,,T1020,1240#devenv,"49,891:117.18.232.200:443",0
,1240,devenv,TcpIp/Recv,4844283092f61ab54031bc163dba221e,admin,1652110466,5/9/2022 23:34,192.168.0.110,"49,891",117.18.232.200,443,Nil,,,nil,,T1589,1240#devenv,"49,891:117.18.232.200:443",0
,6584,postgres,Process/Start,ec20452842f6f8da53da446807c152ad,admin,1652110502,5/9/2022 23:35,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5312&quot;,unknown,T1204.002,4248#unknown,6584#postgres,0
,380,postgres,Process/Start,6c452a47033e3371acc73e31704798e6,admin,1652110562,5/9/2022 23:36,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5216&quot;,unknown,T1204.002,4248#unknown,380#postgres,0
,5300,postgres,Process/Start,4bd1041de18b39dc70d10360e904141f,admin,1652110622,5/9/2022 23:37,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5200&quot;,unknown,T1204.002,4248#unknown,5300#postgres,0
,6252,postgres,Process/Start,6c28fac6ea98b8b8d05aec6109664247,admin,1652110682,5/9/2022 23:38,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5312&quot;,unknown,T1204.002,4248#unknown,6252#postgres,0
,5136,postgres,Process/Start,32c0a23ba44755764798d5cfd257d844,admin,1652110742,5/9/2022 23:39,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5200&quot;,unknown,T1204.002,4248#unknown,5136#postgres,0
,6436,postgres,Process/Start,716e3700249a6fd8618eedd3fc0a2ea5,admin,1652110802,5/9/2022 23:40,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5232&quot;,unknown,T1204.002,4248#unknown,6436#postgres,0
,4,System,TcpIp/Recv,1b06787821f9a304d68e63cbb2be1e68,admin,1652110835,5/9/2022 23:40,192.168.0.110,80,109.237.103.118,"59,562",Nil,,,nil,,T1589,4#System,"80:109.237.103.118:59,562",0
,4,System,TcpIp/Send,a5a5116dd9a0bf73aab6a19ff0ab974d,admin,1652110835,5/9/2022 23:40,192.168.0.110,80,109.237.103.118,"59,562",Nil,,,nil,,T1020,4#System,"80:109.237.103.118:59,562",0
,4,System,TcpIp/Recv,a515f1d43a9c87f0d0db956185195f32,admin,1652110836,5/9/2022 23:40,192.168.0.110,80,109.237.103.118,"59,596",Nil,,,nil,,T1589,4#System,"80:109.237.103.118:59,596",0
,728,postgres,Process/Start,2d0d59e3c1d1ad27a97198d2442106b7,admin,1652110862,5/9/2022 23:41,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5236&quot;,unknown,T1204.002,4248#unknown,728#postgres,0
,6176,postgres,Process/Start,0ae32a3580848c5604d7cc342bf10103,admin,1652110922,5/9/2022 23:42,,,,,Nil,4248.0,postgres.exe,&quot;D:/postgresql/bin/postgres.exe&quot; &quot;--forkavworker&quot; &quot;5196&quot;,unknown,T1204.002,4248#unknown,6176#postgres,0
